Date,PredictedPrice
2023-01-03,13.643364
2023-01-04,13.630103
2023-01-05,13.620599
2023-01-06,13.621037
2023-01-09,13.635827
2023-01-10,13.657312
2023-01-11,13.681438
2023-01-12,13.705447
2023-01-13,13.71807
2023-01-17,13.733424
2023-01-18,13.737395
2023-01-19,13.737626
2023-01-20,13.735155
2023-01-23,13.706725
2023-01-24,13.649473
2023-01-25,13.599173
2023-01-26,13.556242
2023-01-27,13.513383
2023-01-30,13.474019
2023-01-31,13.449312
2023-02-01,13.436539
2023-02-02,13.420481
2023-02-03,13.406692
2023-02-06,13.398155
2023-02-07,13.391043
2023-02-08,13.388917
2023-02-09,13.395863
2023-02-10,13.4008
2023-02-13,13.401658
2023-02-14,13.40502
2023-02-15,13.411947
2023-02-16,13.414217
2023-02-17,13.419339
2023-02-21,13.432581
2023-02-22,13.456383
2023-02-23,13.498731
2023-02-24,13.546244
2023-02-27,13.609784
2023-02-28,13.663043
2023-03-01,13.699019
2023-03-02,13.727784
2023-03-03,13.752144
2023-03-06,13.770791
2023-03-07,13.789659
2023-03-08,13.804191
2023-03-09,13.811194
2023-03-10,13.8222885
2023-03-13,13.831644
2023-03-14,13.836179
2023-03-15,13.83279
2023-03-16,13.831597
2023-03-17,13.828382
2023-03-20,13.82498
2023-03-21,13.82797
2023-03-22,13.825038
2023-03-23,13.818044
2023-03-24,13.819074
2023-03-27,13.824256
2023-03-28,13.831257
2023-03-29,13.838223
2023-03-30,13.842977
2023-03-31,13.847347
2023-04-03,13.847565
2023-04-04,13.847591
2023-04-05,13.84961
2023-04-06,13.852003
2023-04-10,13.851119
2023-04-11,13.843822
2023-04-12,13.83397
2023-04-13,13.822712
2023-04-14,13.812664
2023-04-17,13.808287
2023-04-18,13.807854
2023-04-19,13.805634
2023-04-20,13.8120365
2023-04-21,13.820523
2023-04-24,13.824762
2023-04-25,13.826025
2023-04-26,13.825026
2023-04-27,13.816228
2023-04-28,13.815687
2023-05-01,13.818779
2023-05-02,13.822991
2023-05-03,13.8361
2023-05-04,13.8492985
2023-05-05,13.857916
2023-05-08,13.85944
2023-05-09,13.864649
2023-05-10,13.87089
2023-05-11,13.872986
2023-05-12,13.874108
2023-05-15,13.874898
2023-05-16,13.873956
2023-05-17,13.871721
2023-05-18,13.87204
2023-05-19,13.86851
2023-05-22,13.873901
2023-05-23,13.875876
2023-05-24,13.8776245
2023-05-25,13.877675
2023-05-26,13.806603
2023-05-30,13.738317
2023-05-31,13.657151
2023-06-01,13.598834
2023-06-02,13.560002
2023-06-05,13.540887
2023-06-06,13.527443
2023-06-07,13.522938
2023-06-08,13.524117
2023-06-09,13.515
2023-06-12,13.508317
2023-06-13,13.517004
2023-06-14,13.54045
2023-06-15,13.550715
2023-06-16,13.569455
2023-06-20,13.583575
2023-06-21,13.601777
2023-06-22,13.628425
2023-06-23,13.660436
2023-06-26,13.7010145
2023-06-27,13.739099
2023-06-28,13.76461
2023-06-29,13.7814455
2023-06-30,13.784649
2023-07-03,13.779403
2023-07-05,13.783256
2023-07-06,13.788565
2023-07-07,13.793919
2023-07-10,13.795825
2023-07-11,13.792606
2023-07-12,13.786088
2023-07-13,13.78134
2023-07-14,13.781486
2023-07-17,13.798317
2023-07-18,13.817015
2023-07-19,13.828584
2023-07-20,13.841841
2023-07-21,13.853316
2023-07-24,13.853779
2023-07-25,13.855937
2023-07-26,13.85125
2023-07-27,13.845922
2023-07-28,13.837845
2023-07-31,13.830466
2023-08-01,13.828689
2023-08-02,13.831634
2023-08-03,13.838839
2023-08-04,13.838929
2023-08-07,13.834917
2023-08-08,13.827957
2023-08-09,13.823062
2023-08-10,13.816818
2023-08-11,13.803577
2023-08-14,13.78507
2023-08-15,13.769294
2023-08-16,13.742908
2023-08-17,13.730449
2023-08-18,13.724931
2023-08-21,13.723213
2023-08-22,13.7167225
2023-08-23,13.727103
2023-08-24,13.746038
2023-08-25,13.755813
2023-08-28,13.757688
2023-08-29,13.758627
2023-08-30,13.754308
2023-08-31,13.760056
2023-09-01,13.776581
2023-09-05,13.789258
2023-09-06,13.795206
2023-09-07,13.799337
2023-09-08,13.799697
2023-09-11,13.799289
2023-09-12,13.801621
2023-09-13,13.806346
2023-09-14,13.806399
2023-09-15,13.8056345
2023-09-18,13.809312
2023-09-19,13.807058
2023-09-20,13.80046
2023-09-21,13.795078
2023-09-22,13.788681
2023-09-25,13.779186
2023-09-26,13.771203
2023-09-27,13.760285
2023-09-28,13.746242
2023-09-29,13.734012
2023-10-02,13.728528
2023-10-03,13.726165
2023-10-04,13.731501
2023-10-05,13.737244
2023-10-06,13.766668
2023-10-09,13.787645
2023-10-10,13.796857
2023-10-11,13.80291
2023-10-12,13.8134985
2023-10-13,13.822116
2023-10-16,13.826727
2023-10-17,13.82603
2023-10-18,13.822821
2023-10-19,13.823683
2023-10-20,13.814938
2023-10-23,13.80827
2023-10-24,13.801622
2023-10-25,13.793478
2023-10-26,13.794516
2023-10-27,13.795234
2023-10-30,13.792062
2023-10-31,13.787969
2023-11-01,13.781355
2023-11-02,13.77097
2023-11-03,13.768246
2023-11-06,13.7681875
2023-11-07,13.767651
2023-11-08,13.763212
2023-11-09,13.763156
2023-11-10,13.773301
2023-11-13,13.773858
2023-11-14,13.75795
2023-11-15,13.732861
2023-11-16,13.700912
2023-11-17,13.666539
2023-11-20,13.650488
2023-11-21,13.632109
2023-11-22,13.627519
2023-11-24,13.636451
2023-11-27,13.664152
2023-11-28,13.6770935
2023-11-29,13.688461
2023-11-30,13.705988
2023-12-01,13.730472
2023-12-04,13.7487955
2023-12-05,13.756174
2023-12-06,13.758683
2023-12-07,13.757923
2023-12-08,13.744058
2023-12-11,13.729459
2023-12-12,13.722201
2023-12-13,13.718757
2023-12-14,13.719588
2023-12-15,13.735412
2023-12-18,13.7625675
2023-12-19,13.783408
2023-12-20,13.795369
2023-12-21,13.808108
2023-12-22,13.812199
2023-12-26,13.819725
2023-12-27,13.825007
2023-12-28,13.82917
2023-12-29,13.833255
2024-01-02,13.83401
2024-01-03,13.838475
2024-01-04,13.8441725
2024-01-05,13.844144
2024-01-08,13.836268
2024-01-09,13.813985
2024-01-10,13.796001
2024-01-11,13.796857
2024-01-12,13.81057
2024-01-16,13.814758
2024-01-17,13.796393
2024-01-18,13.775331
2024-01-19,13.756633
2024-01-22,13.725116
2024-01-23,13.695535
2024-01-24,13.672048
2024-01-25,13.643434
2024-01-26,13.627453
2024-01-29,13.626399
2024-01-30,13.622246
2024-01-31,13.619615
2024-02-01,13.625374
2024-02-02,13.628374
2024-02-05,13.619305
2024-02-06,13.599208
2024-02-07,13.584632
2024-02-08,13.568244
2024-02-09,13.559415
2024-02-12,13.54688
2024-02-13,13.537933
2024-02-14,13.532724
2024-02-15,13.523197
2024-02-16,13.506955
2024-02-20,13.474528
2024-02-21,13.443132
2024-02-22,13.448981
2024-02-23,13.495453
2024-02-26,13.534624
2024-02-27,13.538415
2024-02-28,13.535097
2024-02-29,13.563109
2024-03-01,13.601548
2024-03-04,13.624632
2024-03-05,13.627102
2024-03-06,13.633071
2024-03-07,13.626025
2024-03-08,13.596961
2024-03-11,13.586188
2024-03-12,13.5840435
2024-03-13,13.570175
2024-03-14,13.569445
2024-03-15,13.588527
2024-03-18,13.622674
2024-03-19,13.653186
2024-03-20,13.679148
2024-03-21,13.696503
2024-03-22,13.710786
2024-03-25,13.718244
2024-03-26,13.714006
2024-03-27,13.72057
2024-03-28,13.735156
2024-04-01,13.7546215
2024-04-02,13.767784
2024-04-03,13.774681
2024-04-04,13.770271
2024-04-05,13.756902
2024-04-08,13.726317
2024-04-09,13.709964
2024-04-10,13.694321
2024-04-11,13.674323
2024-04-12,13.679755
2024-04-15,13.683014
2024-04-16,13.684166
2024-04-17,13.670648
2024-04-18,13.663776
2024-04-19,13.651587
2024-04-22,13.635882
2024-04-23,13.596654
2024-04-24,13.572834
2024-04-25,13.544247
2024-04-26,13.500426
2024-04-29,13.452642
2024-04-30,13.454899
2024-05-01,13.492888
2024-05-02,13.544177
2024-05-03,13.559422
2024-05-06,13.551969
2024-05-07,13.528051
2024-05-08,13.552735
2024-05-09,13.5762205
2024-05-10,13.559373
2024-05-13,13.447169
2024-05-14,13.278519
2024-05-15,13.176197
2024-05-16,13.127905
2024-05-17,13.125918
2024-05-20,13.16132
2024-05-21,13.225313
2024-05-22,13.325575
2024-05-23,13.419034
2024-05-24,13.419197
2024-05-28,13.395619
2024-05-29,13.3337755
2024-05-30,13.274045
2024-05-31,13.218894
2024-06-03,13.144778
2024-06-04,13.003571
2024-06-05,12.843847
2024-06-06,12.697272
2024-06-07,12.606816
2024-06-10,12.538367
2024-06-11,12.471665
2024-06-12,12.404165
2024-06-13,12.311924
2024-06-14,12.20352
2024-06-17,12.127004
2024-06-18,12.115027
2024-06-20,12.098345
2024-06-21,12.157811
2024-06-24,12.278273
2024-06-25,12.386699
2024-06-26,12.461135
2024-06-27,12.504071
2024-06-28,12.521784
2024-07-01,12.513271
2024-07-02,12.483562
2024-07-03,12.46471
2024-07-05,12.464679
2024-07-08,12.496815
2024-07-09,12.518573
2024-07-10,12.579886
2024-07-11,12.671623
2024-07-12,12.774464
2024-07-15,12.844745
2024-07-16,12.920431
2024-07-17,13.003445
2024-07-18,13.089341
2024-07-19,13.108434
2024-07-22,13.082303
2024-07-23,13.039265
2024-07-24,12.985372
2024-07-25,12.932134
2024-07-26,12.870414
2024-07-29,12.818316
2024-07-30,12.767135
2024-07-31,12.688833
2024-08-01,12.644438
2024-08-02,12.469875
2024-08-05,12.219949
2024-08-06,11.970004
2024-08-07,11.814591
2024-08-08,11.701351
2024-08-09,11.624747
2024-08-12,11.583877
2024-08-13,11.502397
2024-08-14,11.269661
2024-08-15,11.334952
2024-08-16,11.480694
2024-08-19,11.70068
2024-08-20,12.023099
2024-08-21,12.15721
2024-08-22,12.1462555
2024-08-23,12.148849
2024-08-26,12.142062
2024-08-27,12.127694
2024-08-28,12.102036
2024-08-29,12.146816
2024-08-30,12.201215
2024-09-03,12.312035
2024-09-04,12.457562
2024-09-05,12.5424795
2024-09-06,12.604059
2024-09-09,12.651583
2024-09-10,12.7052
2024-09-11,12.739842
2024-09-12,12.747943
2024-09-13,12.798303
2024-09-16,12.767928
2024-09-17,12.763869
2024-09-18,12.8108
2024-09-19,12.868754
2024-09-20,12.894008
2024-09-23,12.878276
2024-09-24,12.904674
2024-09-25,12.935887
2024-09-26,13.000057
2024-09-27,13.0747385
2024-09-30,13.132027
2024-10-01,13.163321
2024-10-02,13.180785
2024-10-03,13.200552
2024-10-04,13.197489
2024-10-07,13.183653
2024-10-08,13.149248
2024-10-09,13.105744
2024-10-10,13.091174
2024-10-11,13.088983
2024-10-14,13.094064
2024-10-15,13.093928
2024-10-16,13.106371
2024-10-17,13.064172
2024-10-18,13.008753
2024-10-21,12.96201
2024-10-22,12.91372
2024-10-23,12.847949
2024-10-24,12.721722
2024-10-25,12.652192
2024-10-28,12.655091
2024-10-29,12.657225
2024-10-30,12.662215
2024-10-31,12.67021
2024-11-01,12.670801
2024-11-04,12.689056
2024-11-05,12.707785
2024-11-06,12.738142
2024-11-07,12.721501
2024-11-08,12.684351
2024-11-11,12.745383
2024-11-12,12.851399
2024-11-13,12.904901
2024-11-14,12.966085
2024-11-15,13.1126375
2024-11-18,13.341557
2024-11-19,13.473515
2024-11-20,13.516178
2024-11-21,13.540985
2024-11-22,13.544897
2024-11-25,13.550049
2024-11-26,13.556607
2024-11-27,13.547522
2024-11-29,13.518877
2024-12-02,13.47671
2024-12-03,13.451871
2024-12-04,13.475487
2024-12-05,13.507618
2024-12-06,13.496604
2024-12-09,13.483731
2024-12-10,13.497064
2024-12-11,13.526217
2024-12-12,13.491568
2024-12-13,13.474081
2024-12-16,13.480718
2024-12-17,13.509189
2024-12-18,13.528578
2024-12-19,13.5375595
2024-12-20,13.520959
2024-12-23,13.476108
2024-12-24,13.407869
2024-12-26,13.310703
2024-12-27,13.252872
2024-12-30,13.196072
2024-12-31,13.164008
2025-01-02,13.142395
2025-01-03,13.108521
2025-01-06,12.999286
2025-01-07,12.897816
2025-01-08,12.854706
2025-01-10,12.854767
2025-01-13,12.960935
2025-01-14,13.125516
2025-01-15,13.243921
2025-01-16,13.324573
2025-01-17,13.395345
2025-01-21,13.394846
2025-01-22,13.340056
2025-01-23,13.268574
2025-01-24,13.218856
2025-01-27,13.195411
2025-01-28,13.223918
2025-01-29,13.250634
2025-01-30,13.315805
2025-01-31,13.368888
2025-02-03,13.408885
2025-02-04,13.385268
2025-02-05,13.3122635
2025-02-06,13.183501
2025-02-07,13.011506
2025-02-10,12.816214
2025-02-11,12.652914
2025-02-12,12.642585
2025-02-13,12.713013
2025-02-14,12.851463
2025-02-18,12.907502
2025-02-19,12.953993
2025-02-20,13.013265
2025-02-21,13.020735
2025-02-24,13.044531
2025-02-25,13.099184
2025-02-26,13.188151
2025-02-27,13.288225
2025-02-28,13.413998
2025-03-03,13.429888
2025-03-04,13.395852
2025-03-05,13.356695
2025-03-06,13.259389
2025-03-07,13.111378
2025-03-10,12.940194
2025-03-11,12.781687
2025-03-12,12.603672
2025-03-13,12.471615
2025-03-14,12.432395
2025-03-17,12.295931
2025-03-18,12.160394
2025-03-19,12.072883
2025-03-20,12.1236
2025-03-21,12.39406
2025-03-24,12.646342
2025-03-25,12.719593
2025-03-26,12.827752
2025-03-27,12.954289
2025-03-28,13.055092
2025-03-31,13.140686
